Executable name	Version	Application name	Application category	Number of devices	Number of executions	Average memory usage per execution [bytes]
zwiftapp.exe	0.0.0.0	unknown	-	1	6	3731532458
iisexpress.exe	10.0.18362.1	Internet Information Services	Network application	4	40	3486818304
thedivision.exe	1.0.0.0	Tom Clancy's The Division	-	1	30	3134543189
goland64.exe	2019.3.3.0	GoLand	-	1	2	3036676096
photoshop.exe	20.0.9.28674	Adobe Photoshop CC 2019	-	1	4	2478833664
photoshop.exe	21.1.1.121	Adobe Photoshop 2020	-	4	8	2154168320
idea64.exe	2019.3.0.0	IntelliJ IDEA	-	1	6	2136997888
goland64.exe	2019.3.4.0	GoLand	-	1	6	2041227946
chathouse3droulette.exe	1.8.5.143	Chathouse 3D Roulette	-	1	8	1879572480
pycharm64.exe	2019.1.1.0	PyCharm	-	2	13	1773067117
trace.exe	0.0.0.0	unknown	-	1	6	1757413376
devenv.exe	16.3.29424.173	Microsoft Visual Studio	-	1	6	1728053248
pycharm64.exe	2018.2.0.0	PyCharm	-	1	7	1377529270
srclib_dll_x64-32.exe	2020.1.2.24185	Alteryx	-	1	90	1369053938
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	2	1266679808
pycharm64.exe	2018.2.0.0	PyCharm	-	2	6	1249203541
pycharm64.exe	2019.3.2.0	PyCharm	-	2	13	1233851313
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	16	1204027392
hedgehog.wpf.client.exe	1.113.3216.3443	HedgeHog.Wpf.Client	-	1	2	1136656384
photoshop.exe	21.1.0.106	Adobe Photoshop 2020	-	3	20	1125908480
devenv.exe	16.4.29613.14	Microsoft Visual Studio	-	1	9	1118947100
nxfinder.exe	6.25.2.0	Nexthink Finder	IT	16	75	1061623948
isuspm.exe	13.0.0.43575	FlexNet Connect	-	1	7	1053968676
hedgehog.wpf.client.exe	1.112.3151.3249	HedgeHog.Wpf.Client	-	141	1287	1047688626
wintrv.exe	3029.1.80.12	Bloomberg LP wintrv	-	1	2	1035993088
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	5	1031798784
pycharm64.exe	2019.1.3.0	PyCharm	-	3	20	1026660761
redgate.sqlcompare.ui.exe	13.7.19.12066	SQL Compare	-	2	12	993613141
pycharm64.exe	2019.3.4.0	PyCharm	-	2	15	983354572
pycharm64.exe	2018.3.4.0	PyCharm	-	1	8	959447040
iisexpress.exe	10.0.18362.1	Internet Information Services	-	4	48	918878861
camtasiastudio.exe	19.0.8.17484	Camtasia	-	1	8	911678577
firefox.exe	61.0.2.6793	Firefox	Browser	1	139	879959349
pycharm64.exe	2019.3.4.0	PyCharm	-	5	26	878162235
python.exe	3.7.3150.1013	Python	-	8	239	872546304
illustrator.exe	23.1.0.670	Adobe Illustrator 2019	-	4	55	871604968
pycharm64.exe	2019.2.1.0	PyCharm	-	1	7	864176420
datagrip64.exe	2019.3.4.0	DataGrip	-	1	5	855638016
idea64.exe	2019.2.4.0	IntelliJ IDEA	-	1	4	849608704
wintrv.exe	3036.1.80.16	Bloomberg LP wintrv	-	1	4	844103680
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	2	836763648
devenv.exe	16.1.29020.237	Microsoft Visual Studio	-	1	8	830472192
xd.exe	28.5.12.5	Adobe XD	-	2	4	802160640
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	17	795869184
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	2	792723456
datagrip64.exe	2020.1.0.0	DataGrip	-	1	3	754275669
pycharm64.exe	2020.1.0.0	PyCharm	-	4	18	752062008
photoshop.exe	20.0.6.27696	Adobe Photoshop CC 2019	-	5	32	741070848
eclipse.exe	0.0.0.0	unknown	Unknown	1	6	736275114
photoshop.exe	21.0.2.57	Adobe Photoshop 2020	-	4	12	735051776
sqldeveloper64w.exe	19.2.0.206	Oracle SQL Developer	-	1	5	727921459
intexcalc.exe	0.0.0.0	INTEXcalc	-	12	56	725375443
ssms.exe	2019.150.18118.0	Microsoft SQL Server	-	1	16	712291508
javaw.exe	8.0.192.12	OpenJDK Platform 8	-	1	7	707189613
xd.exe	27.1.12.4	Adobe XD	-	1	2	705167360
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	2	687341568
outlook.exe	16.0.11929.20300	Microsoft Outlook	Email	1	7	682098688
