Platform	Name	Entity	Last IP address	Device type	Device model	CPU model	Total RAM [bytes]	Hard disks	OS version and architecture	DXS - Web browsing (DXS - Web browsing)	DXS - Business apps (DXS - Business apps)	DXS - Device (DXS - Device)	DXS - Productivity (DXS - Productivity)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	DXS - Security (DXS - Security)	OS name
Windows	910DS-D10E	Houston - 910 Corp (TX)	10.132.76.42	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			7.68185		10	10	10	10	10		10	Windows 10
Windows	910DS-D10W	Houston - 910 Corp (TX)	10.132.76.43	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			8.3579		10	10	10	10	10		10	Windows 10
Windows	910DS-D11E	Houston - 910 Corp (TX)	10.132.84.42	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			8.259		10	10	10	10	10		10	Windows 10
Windows	910DS-D11W	Houston - 910 Corp (TX)	10.132.84.80	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			6.95627		10	10	10	10	10		10	Windows 10
Windows	910DS-D12E	Houston - 910 Corp (TX)	10.132.92.46	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			0		10	10	10	10	10		10	Windows 10
Windows	910DS-D12W	Houston - 910 Corp (TX)	10.132.92.47	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			0		10	10	10	10	10		10	Windows 10
Windows	910DS-D13E	Houston - 910 Corp (TX)	10.132.213.43	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			0		10	10	10	10	10		10	Windows 10
Windows	910DS-D13W	Houston - 910 Corp (TX)	10.132.100.43	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			0		10	10	10	10	10		10	Windows 10
Windows	910DS-D14E	Houston - 910 Corp (TX)	10.132.108.42	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			8.2029		10	10	10	10	10		10	Windows 10
Windows	910DS-D14W	Houston - 910 Corp (TX)	10.132.108.43	desktop	OptiPlex 7050	Intel Core i7-7700T CPU @ 2.90GHz	17179869184	Toshiba (465.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			0		10	10	10	10	10		10	Windows 10
