Executable name	Version	Number of executions	Average memory usage per execution [bytes]	Number of devices	Application name
excel.exe	16.0.12527.20278	3	491432618	1	Microsoft Office
excel.exe	16.0.12527.20278	108	485980676	1	Microsoft Office
excel.exe	14.0.7235.5000	350	387535292	15	Microsoft Office 2010
excel.exe	15.0.5153.1000	166	324943472	10	Microsoft Office 2013
excel.exe	14.0.7237.5000	374	285946283	13	Microsoft Office 2010
excel.exe	16.0.9126.2295	111	253742830	3	Microsoft Office 2016
excel.exe	16.0.11929.20300	101	249099872	1	Microsoft Office
powerpnt.exe	16.0.12231.20000	5	247883366	1	Microsoft Office
winword.exe	16.0.11328.20526	19	240822954	1	Microsoft Office
powerpnt.exe	15.0.4454.1000	4	239075328	1	Microsoft Office 2013
excel.exe	16.0.11328.20554	1159	225420854	27	Microsoft Office
lync.exe	16.0.12008.20000	4	224133120	1	Microsoft Office
lync.exe	16.0.11929.20300	6	223975833	1	Microsoft Office
excel.exe	16.0.11328.20512	35795	219424580	736	Microsoft Office
excel.exe	16.0.11328.20368	13175	216547614	313	Microsoft Office
powerpnt.exe	16.0.11929.20562	464	214920221	29	Microsoft Office
lync.exe	16.0.11929.20606	80	201692921	9	Microsoft Office
excel.exe	16.0.11328.20368	2613	200566364	20	Microsoft Office
excel.exe	14.0.4756.1000	100	198680810	5	Microsoft Office 2010
excel.exe	14.0.7015.1000	1722	194721856	50	Microsoft Office 2010
excel.exe	14.0.7229.5000	480	192648363	13	Microsoft Office 2010
powerpnt.exe	16.0.11328.20554	127	190476800	11	Microsoft Office
powerpnt.exe	15.0.5093.1000	976	190097727	5	Microsoft Office 2013
excel.exe	16.0.11328.20512	14013	187774231	202	Microsoft Office
lync.exe	16.0.12527.20278	9	182550528	1	Microsoft Office
powerpnt.exe	16.0.11929.20606	54	175796976	5	Microsoft Office
powerpnt.exe	16.0.11328.20512	7226	174365027	470	Microsoft Office
lync.exe	15.0.4551.1007	392	168827895	35	Microsoft Office 2013
lync.exe	16.0.11328.20554	275	167894493	30	Microsoft Office
winword.exe	16.0.12008.20000	1	164364288	1	Microsoft Office
lync.exe	16.0.11929.20648	148	163446784	15	Microsoft Office
winword.exe	15.0.5153.1000	47	163368140	7	Microsoft Office 2013
lync.exe	16.0.11328.20512	9366	162936418	742	Microsoft Office
lync.exe	16.0.11328.20368	3398	161673610	295	Microsoft Office
powerpnt.exe	16.0.11328.20368	1966	151923233	169	Microsoft Office
lync.exe	16.0.12325.20298	1	150208512	1	Microsoft Office
lync.exe	16.0.11929.20562	709	148756951	72	Microsoft Office
powerpnt.exe	16.0.11328.20368	142	146119065	10	Microsoft Office
powerpnt.exe	16.0.12703.20010	1	144703488	1	Microsoft Office
winword.exe	16.0.12703.20010	3	144179200	1	Microsoft Office
excel.exe	14.0.7232.5000	147	139194461	6	Microsoft Office 2010
winword.exe	16.0.11328.20554	262	133797985	17	Microsoft Office
lync.exe	15.0.4551.1005	8	132710400	1	Microsoft Office 2013
lync.exe	16.0.9126.2295	25	130065367	2	Microsoft Office 2016
lync.exe	16.0.12703.20010	11	129618292	1	Microsoft Office
winword.exe	16.0.4266.1001	3	128188416	1	Microsoft Office 2016
lync.exe	16.0.11328.20468	29	127233774	4	Microsoft Office
powerpnt.exe	14.0.7162.5000	108	124785537	6	Microsoft Office 2010
lync.exe	16.0.11929.20648	48	124306773	6	Microsoft Office
lync.exe	15.0.5159.1000	3185	123725867	360	Microsoft Office 2013
powerpnt.exe	16.0.12008.20000	1	120324096	1	Microsoft Office
lync.exe	16.0.12231.20000	8	118521856	1	Microsoft Office
excel.exe	16.0.12231.20000	24	118382288	1	Microsoft Office
lync.exe	15.0.4420.1017	23	117107133	4	Microsoft Office 2013
excel.exe	14.0.7235.5000	18682	116245866	663	Microsoft Office 2010
lync.exe	16.0.11328.20368	193	115991857	18	Microsoft Office
excel.exe	16.0.11328.20468	72	114655232	1	Microsoft Office
powerpnt.exe	16.0.11929.20648	69	112876122	8	Microsoft Office
lync.exe	16.0.11328.20512	2242	111300190	203	Microsoft Office
